Date,Year,Day,Fisher,Number fishers,Video or Photo,Buyer,Method,Location,Time,First weight,Second weight,Third weight,Lionfish weight,Lobster large weight,Lobster small weight,Octopus weight,Crab weight,Conch weight,Eel weight,First number,Second number,Third number,Lionfish number,Lobster large number ,Lobster small number,Octopus number,Crab number,Conch number,Eel number,1st number snapper,1st number grouper,1st number other,2nd number parrotfish,2nd number snapper,2nd number grouper,2nd number lionfish,2nd number grunt,2nd number other,3rd number parrotfish,3rd number snapper,3rd number grouper,3rd number grunt,3rd number squirrelfish,3rd number other,Other weight,Other number,Region,Notes
26-Jun-14,2014,Thursday,PedCh,1,no video,Co,Free,UNKNOWN,unknown,0,7,8.5,0,0,0,0,0,0,0,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,
26-Jun-14,2014,Thursday,Onie,1,no video,Co,Free,UNKNOWN,unknown,0.5,6.5,5,0,0,0,1,0,0,0,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,
26-Jun-14,2014,Thursday,Wil,1,no video,Co,Free,UNKNOWN,unknown,3,12.5,7.25,0,0,0,0,0,0,2.25,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,
5-Jul-14,2014,Saturday,"Frankl, Sao, Cla",3,no video,Fr,Gillnet,Playa Coco,unknown,12,21,5.5,0,0,0,0,0,0,0,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,
5-Jul-14,2014,Saturday,"RubC, Nin",2,"5 Jul 14, RubC",An,Compressor,UNKNOWN,unknown,26,33,6,7,3.9,0,0,0,0,0,12,81,14,14,3,1,0,0,0,0,7,4,1,47,5,7,14,3,5,12,0,1,0,0,1,0,,,
5-Jul-14,2014,Saturday,Gro,1,"5 Jul 14, Gro (1 and 2)",Gr,Free,La Feria,unknown,0,1,1,0,0,1.5,8.75,0,1,0,0,2,3,0,0,5,22,0,4,0,0,0,0,0,0,2,0,0,0,2,0,0,1,0,0,0,,,
5-Jul-14,2014,Saturday,"AriPre, AriCom",2,"5 Jul 14, AriPres",Vi,Compressor,Inside of el Lulo,unknown,13.5,6.5,8,0,0,0,7,3,15.5,0,8,7,22,0,0,2,3,1,50,0,4,3,1,6,0,0,0,0,1,18,0,0,1,0,3,0,,,
6-Jul-14,2014,Sunday,"*San, Nel",2,no video,He,Offshore,Inside of El Veril,unknown,0,5,5,0,18,0,0,0,0,0,,,,0,,,,0,0,0,,,,,,,,,,,,,,,,,,,
6-Jul-14,2014,Sunday,"RubC, Nin, Jes",3,"6 Jul 14, RubC",He,Compressor,UNKNOWN,unknown,11,17,14,4,6.25,0,0,13,0,0,14,61,48,8,4,4,0,4,0,4,2,7,5,40,1,4,8,3,5,38,0,4,4,1,1,0,,,
21-Jun-14,2014,Saturday,Ars,1,"21 Jun 14, Ars",Gr,Free,UNKNOWN,unknown,4,0,3,0,0,5,0.5,0,0,0,1,0,11,0,0,12,1,0,0,0,1,0,0,0,0,0,0,0,0,7,1,1,0,2,0,0,,,
21-Jun-14,2014,Saturday,Leo,1,"21 Jun 14, Leo",Co,Free,La Cordillera de Afuera,unknown,4.5,12.5,5,0,0,0.6,0,0,0,0,5,25,19,0,0,1,0,0,0,0,5,0,0,22,0,1,0,1,1,11,2,2,0,2,2,0,,,
21-Jun-14,2014,Saturday,Nya,1,"21 Jun 14, Nya",Co,Free,La Cordillera de Afuera,unknown,0,15.1,4.5,0,0,0,13.25,0,3.9,0,0,39,15,0,0,0,40,0,13,0,0,0,0,25,2,4,0,3,5,7,0,3,0,5,0,0,,,
21-Jun-14,2014,Saturday,Cua,1,"21 Jun 14, Cua",As,Free,La Cordillera de Afuera,unknown,1.5,10,9.5,0,0,0,1,0,0,0,2,16,35,0,0,0,1,0,0,0,1,1,0,10,0,3,0,2,1,19,0,5,0,4,7,0,,,
21-Jun-14,2014,Saturday,"AriPre, AriCom",2,no video,Vi,Compressor,El Veril,unknown,8.5,7,4.5,0,6,0,0,15.5,0,0,,,,0,,,,,0,0,,,,,,,,,,,,,,,,,,,
30-Jun-14,2014,Monday,Wil,1,"30 Jun 14, Wil",Co,Free,El Cayito,unknown,1.75,5.75,2.5,0,0,0,0,0,0,0,3,8,22,0,0,0,0,0,0,0,2,1,0,3,1,3,0,0,1,13,1,2,0,2,4,0,,,
1-Jul-14,2014,Tuesday,"Bet, Mell",2,"1 Jul 14, Bet (1, 2, 3)",Ca,Compressor,La Banquera Seca,unknown,12,24.3,14.5,0.5,2.6,1.2,1.5,3.75,0,0,11,47,46,1,2,2,1,1,0,0,4,7,0,29,2,4,1,7,4,44,1,0,1,0,0,0,,,
5-Jul-14,2014,Saturday,Nan,1,"5 Jul 14, Nan",As,Free,,unknown,15.5,4.5,1,0.5,0,0,1.5,0,0,0,4,8,4,1,0,0,3,0,0,0,3,1,0,6,0,1,1,0,0,2,0,1,0,0,1,0,,,
